Airport_Key,Airport_Code,City_Name,State_Name
231,MVY,"Martha's Vineyard, MA",Massachusetts
232,MYR,"Myrtle Beach, SC",South Carolina
233,OAJ,"Jacksonville/Camp Lejeune, NC",North Carolina
234,OAK,"Oakland, CA",California
235,OGG,"Kahului, HI",Hawaii
236,OKC,"Oklahoma City, OK",Oklahoma
237,OMA,"Omaha, NE",Nebraska
238,OME,"Nome, AK",Alaska
239,ONT,"Ontario, CA",California
240,ORD,"Chicago, IL",Illinois
241,ORF,"Norfolk, VA",Virginia
242,ORH,"Worcester, MA",Massachusetts
243,OTH,"North Bend/Coos Bay, OR",Oregon
244,OTZ,"Kotzebue, AK",Alaska
245,PAE,"Everett, WA",Washington
246,PBG,"Plattsburgh, NY",New York
247,PBI,"West Palm Beach/Palm Beach, FL",Florida
248,PDX,"Portland, OR",Oregon
249,PGD,"Punta Gorda, FL",Florida
250,PHL,"Philadelphia, PA",Pennsylvania
251,PHX,"Phoenix, AZ",Arizona
252,PIA,"Peoria, IL",Illinois
253,PIB,"Hattiesburg/Laurel, MS",Mississippi
254,PIE,"St. Petersburg, FL",Florida
255,PIH,"Pocatello, ID",Idaho
256,PIT,"Pittsburgh, PA",Pennsylvania
257,PLN,"Pellston, MI",Michigan
258,PNS,"Pensacola, FL",Florida
259,PPG,"Pago Pago, TT",U.S. Pacific Trust Territories and Possessions
260,PQI,"Presque Isle/Houlton, ME",Maine
261,PRC,"Prescott, AZ",Arizona
262,PSC,"Pasco/Kennewick/Richland, WA",Washington
263,PSE,"Ponce, PR",Puerto Rico
264,PSG,"Petersburg, AK",Alaska
265,PSM,"Portsmouth, NH",New Hampshire
266,PSP,"Palm Springs, CA",California
267,PVD,"Providence, RI",Rhode Island
268,PVU,"Provo, UT",Utah
269,PWM,"Portland, ME",Maine
270,RAP,"Rapid City, SD",South Dakota
271,RDD,"Redding, CA",California
272,RDM,"Bend/Redmond, OR",Oregon
273,RDU,"Raleigh/Durham, NC",North Carolina
274,RFD,"Rockford, IL",Illinois
275,RHI,"Rhinelander, WI",Wisconsin
276,RIC,"Richmond, VA",Virginia
277,RIW,"Riverton/Lander, WY",Wyoming
278,RKS,"Rock Springs, WY",Wyoming
279,RNO,"Reno, NV",Nevada
280,ROA,"Roanoke, VA",Virginia
281,ROC,"Rochester, NY",New York
282,ROW,"Roswell, NM",New Mexico
283,RST,"Rochester, MN",Minnesota
284,RSW,"Fort Myers, FL",Florida
285,SAF,"Santa Fe, NM",New Mexico
286,SAN,"San Diego, CA",California
287,SAT,"San Antonio, TX",Texas
288,SAV,"Savannah, GA",Georgia
289,SBA,"Santa Barbara, CA",California
290,SBN,"South Bend, IN",Indiana
291,SBP,"San Luis Obispo, CA",California
292,SCC,"Deadhorse, AK",Alaska
293,SCE,"State College, PA",Pennsylvania
294,SCK,"Stockton, CA",California
295,SDF,"Louisville, KY",Kentucky
296,SEA,"Seattle, WA",Washington
297,SFB,"Sanford, FL",Florida
298,SFO,"San Francisco, CA",California
299,SGF,"Springfield, MO",Missouri
300,SGU,"St. George, UT",Utah
301,SHR,"Sheridan, WY",Wyoming
302,SHV,"Shreveport, LA",Louisiana
303,SIT,"Sitka, AK",Alaska
304,SJC,"San Jose, CA",California
305,SJT,"San Angelo, TX",Texas
306,SJU,"San Juan, PR",Puerto Rico
307,SLC,"Salt Lake City, UT",Utah
308,SLN,"Salina, KS",Kansas
309,SMF,"Sacramento, CA",California
310,SMX,"Santa Maria, CA",California
311,SNA,"Santa Ana, CA",California
312,SPI,"Springfield, IL",Illinois
313,SPN,"Saipan, TT",U.S. Pacific Trust Territories and Possessions
314,SPS,"Wichita Falls, TX",Texas
315,SRQ,"Sarasota/Bradenton, FL",Florida
316,STC,"St. Cloud, MN",Minnesota
317,STL,"St. Louis, MO",Missouri
318,STS,"Santa Rosa, CA",California
319,STT,"Charlotte Amalie, VI",U.S. Virgin Islands
320,STX,"Christiansted, VI",U.S. Virgin Islands
321,SUN,"Sun Valley/Hailey/Ketchum, ID",Idaho
322,SUX,"Sioux City, IA",Iowa
323,SWF,"Newburgh/Poughkeepsie, NY",New York
324,SWO,"Stillwater, OK",Oklahoma
325,SYR,"Syracuse, NY",New York
326,TLH,"Tallahassee, FL",Florida
327,TOL,"Toledo, OH",Ohio
328,TPA,"Tampa, FL",Florida
329,TRI,"Bristol/Johnson City/Kingsport, TN",Tennessee
330,TTN,"Trenton, NJ",New Jersey
331,TUL,"Tulsa, OK",Oklahoma
332,TUS,"Tucson, AZ",Arizona
333,TVC,"Traverse City, MI",Michigan
334,TWF,"Twin Falls, ID",Idaho
335,TXK,"Texarkana, AR",Arkansas
336,TYR,"Tyler, TX",Texas
337,TYS,"Knoxville, TN",Tennessee
338,USA,"Concord, NC",North Carolina
339,VCT,"Victoria, TX",Texas
340,VEL,"Vernal, UT",Utah
341,VLD,"Valdosta, GA",Georgia
342,VPS,"Valparaiso, FL",Florida
343,WRG,"Wrangell, AK",Alaska
344,WYS,"West Yellowstone, MT",Montana
345,XNA,"Fayetteville, AR",Arkansas
346,XWA,"Williston, ND",North Dakota
347,YAK,"Yakutat, AK",Alaska
348,YUM,"Yuma, AZ",Arizona
